id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37248338,Double Bedroom Dublin,60857537,Tiago,,Dublin City,53.35982,-6.25977,Private room,65,3,7,2020-02-10,0.25,1,0,0,
37273181,NYC Style Loft Apt City Centre,280606955,Niamh,,Dublin City,53.35364,-6.26064,Entire home/apt,195,2,6,2019-09-27,0.21,1,0,0,
37282119,Your perfect Dublin base beside Grand Canal,279386924,Max,,Dublin City,53.34388,-6.24457,Entire home/apt,500,2,10,2019-12-09,0.35,3,0,0,
37288548,"Stillorgan Village Hideaway, County Dublin",81391770,Jiyoung,,Dn Laoghaire-Rathdown,53.286,-6.19863,Entire home/apt,130,3,47,2021-09-26,1.71,1,114,16,
37306419,Cosy and Modern City Dwelling,19419345,Ema,,Dublin City,53.33874,-6.32508,Private room,50,1,25,2020-03-09,0.88,1,0,0,
37310316,Spacious  bedroom in Ballsbridge Dublin 4 near RDS,280871727,Maureen,,Dublin City,53.33014,-6.21696,Private room,59,2,4,2019-08-27,0.14,2,0,0,
37318865,Double Room Ensuite in the City,99609519,Angela,,Dublin City,53.33927,-6.23769,Private room,50,1,6,2020-08-25,0.21,5,0,0,
37346143,Comfortable home 15/20 mins by car  Dublin airport,275480567,Rosemary,,Fingal,53.39094,-6.41591,Private room,52,2,26,2021-11-15,0.94,2,68,8,
37374910,"Beautiful, luxurious home with breakfast!",281630860,Joan & Pat,,South Dublin,53.35759,-6.47161,Entire home/apt,300,5,4,2019-08-25,0.14,4,0,0,
37376225,The Blue Door,276927179,Lynda,,Dublin City,53.3383,-6.22664,Entire home/apt,150,2,2,2020-03-15,0.08,1,0,0,
37377666,I,281445542,Edward,,Dublin City,53.33533,-6.23955,Entire home/apt,450,3,9,2019-12-30,0.33,1,0,0,
37379391,Baggot Rath for 2 persons.,402350551,,,Dublin City,53.3354,-6.22371,Entire home/apt,9,1,0,,,8,0,0,
37394907,Spacious double bedroom near RDS,280871727,Maureen,,Dublin City,53.3307,-6.21595,Private room,59,2,8,2019-09-08,0.28,2,0,0,
37421258,Cosy single bed in attic room in Castleknock,14325081,Cherry,,Fingal,53.37328,-6.39919,Private room,38,2,11,2021-12-01,0.40,2,47,5,
37422266,"Beautiful,cosy room+own Bathroom in Kilmainham D8",111510628,Andrew & Francis,,Dublin City,53.33845,-6.30417,Private room,45,2,8,2020-03-19,0.32,1,0,0,
37444687,The Coach House Raglan Lane Ballsbridge Dublin 4,282359979,Leah,,Dublin City,53.33051,-6.24072,Entire home/apt,230,14,15,2021-11-23,0.54,1,85,4,
37474447,Liberties Luxury,46366412,Louise,,Dublin City,53.34018,-6.27748,Private room,75,1,9,2020-02-21,0.32,1,0,0,
37487591,"Self contained studio with ensuite, own entrance",39995184,Valerie,,South Dublin,53.32468,-6.38524,Entire home/apt,75,1,85,2020-03-13,3.00,1,0,0,
37490747,Home Away from Home,7269939,Raquel,,Dublin City,53.31039,-6.2871,Private room,46,2,0,,,1,306,0,
37495236,Spacious house in Centre of Dublin,217295217,Sammy,,Dublin City,53.3296,-6.26589,Private room,65,1,5,2019-10-20,0.18,1,0,0,
37523477,"City Centre Hideout, Buzzy and Vibrant",59920509,Clark,,Dublin City,53.3522,-6.25928,Entire home/apt,80,28,4,2021-09-09,0.14,4,236,3,
37523572,City center room for peace and tranquility,2848296,Robert,,Dublin City,53.37065,-6.24026,Private room,35,1,9,2019-09-29,0.32,1,0,0,
37527985,"Cozy, spacious and great located flat",277709526,Erim Taylan,,Dublin City,53.35404,-6.22998,Private room,59,2,1,2019-08-12,0.04,2,0,0,
37547727,Modern & Spacious 2 bedroom House in Knocklyon,18480914,Lyndsey,,South Dublin,53.28179,-6.32088,Entire home/apt,140,3,2,2019-09-27,0.07,1,0,0,
37551762,Lusk family home,43340074,Tati,,Fingal,53.52885,-6.16411,Private room,40,1,1,2019-09-18,0.04,1,0,0,
37557193,Killiney - Double or Triple room with ensuite,27402530,Emer,,Dn Laoghaire-Rathdown,53.27417,-6.122,Private room,60,2,33,2021-12-05,1.23,1,290,15,
37583585,Two bedroom house 15 minute drive from city center,177515485,Emma,,Dn Laoghaire-Rathdown,53.28819,-6.1823,Entire home/apt,42,1,5,2019-10-10,0.19,1,0,0,
37611025,IDEAL LOCATION-BALLSBRIDGE 2BR-2BA APARTMENT!!,123745971,Especial,,Dublin City,53.33771,-6.23273,Entire home/apt,184,14,0,,,38,0,0,
37622448,Quiet peaceful room located near the city center.,284237652,David,,Dublin City,53.37065,-6.24119,Private room,39,1,10,2020-01-03,0.36,2,0,0,
37645919,Country House,284446104,Serhiy,,Fingal,53.52321,-6.31887,Private room,100,2,0,,,1,0,0,
37646922,Corner Liberty,268329375,Rohit,,Dublin City,53.35202,-6.24927,Entire home/apt,800,7,0,,,2,365,0,
37650683,Room in cosy apartment by Christchurch cathedral,284481692,Martin,,Dublin City,53.34221,-6.27308,Private room,80,1,8,2020-07-24,0.28,1,0,0,
37651902,Georgian style Twin room close to city centre,271540467,Pembroke Townhouse,,Dublin City,53.33363,-6.23927,Private room,149,1,18,2021-11-13,0.73,5,327,2,
37658435,Cozy Double Bedroom,257594716,Stefan,,South Dublin,53.28096,-6.43087,Private room,50,1,7,2019-12-08,0.25,1,0,0,
37672918,Victorian terraced house with garden in the city,94168794,Patricia,,Dublin City,53.33359,-6.27657,Entire home/apt,150,6,0,,,2,58,0,
37675372,Deluxe 1-bedroom & bathroom in 2-bedroom apartment,4540620,Mando,,Dn Laoghaire-Rathdown,53.27375,-6.21841,Private room,50,2,14,2021-08-29,0.54,1,0,8,
